dateTime,activities-calories,activities-steps,Activities-distance,activities-floors,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-efficiency
2016-01-15,1973,8219,6,0,23:58,475,475,100
2016-01-16,1909,5468,4,0,00:34,532,532,100
2016-01-17,2695,17560,12,0,23:31,463,463,100
2016-01-18,1944,7627,5,0,23:25,439,439,100
2016-01-19,2350,12651,9,0,00:12,444,444,100
2016-01-20,1969,7609,5,0,23:31,513,513,100
2016-01-21,1980,8578,6,0,00:11,447,447,100
2016-01-22,1958,7436,5,0,23:54,465,465,100
2016-01-23,2519,16496,12,0,23:44,404,404,100
2016-01-24,2966,22950,16,0,23:55,437,437,100
2016-01-25,1995,8329,6,0,23:08,522,522,100
2016-01-26,1871,4065,3,0,23:40,488,488,100
2016-01-27,1887,4697,3,0,23:21,490,490,100
2016-01-28,1988,9011,6,0,23:28,479,479,100
2016-01-29,2297,13062,9,0,,0,0,0
2016-01-30,1969,7155,5,0,23:49,500,500,100
2016-01-31,1936,6069,4,0,,0,0,0
2016-02-01,1991,8019,5,0,23:28,478,478,100
2016-02-02,2184,9001,6,0,00:36,428,428,100
2016-02-03,2023,9208,6,0,23:58,481,481,100
2016-02-04,1962,7541,5,0,00:13,407,407,100
2016-02-05,1940,7244,5,0,00:18,439,439,100
2016-02-06,2087,10291,7,0,00:59,483,483,100
2016-02-07,1814,1886,1,0,21:49,654,654,100
2016-02-08,1990,8225,6,0,23:47,459,459,100
2016-02-09,1937,6990,5,0,23:50,472,472,100
2016-02-10,1990,7492,5,0,23:17,478,478,100
2016-02-11,1856,3979,2,0,22:23,514,514,100
2016-02-12,2057,11009,8,0,23:36,491,491,100
2016-02-13,1974,7582,5,0,00:28,539,539,100
2016-02-14,1906,5195,3,0,,0,0,0
2016-02-15,1950,5675,4,0,23:26,500,500,100
2016-02-16,1975,7676,5,0,00:03,450,450,100
2016-02-17,1854,4007,2,0,23:24,448,448,100
2016-02-18,1913,5775,4,0,00:59,401,401,100
2016-02-19,2047,10818,7,0,23:16,510,510,100
2016-02-20,2072,10563,7,0,23:26,536,536,100
2016-02-21,2216,10583,7,0,00:21,470,470,100
2016-02-22,2015,9233,6,0,23:24,487,487,100
2016-02-23,1997,9666,7,0,23:43,484,484,100
2016-02-24,1925,6493,4,0,00:07,422,422,100
2016-02-25,1923,5821,4,0,23:52,282,282,100
2016-02-26,1760,0,0,0,,0,0,0
2016-02-27,1820,2407,1,0,,0,0,0
2016-02-28,1891,4674,3,0,00:13,529,529,100
2016-02-29,1964,7510,5,0,00:01,206,206,100
2016-03-01,1856,4165,3,0,00:15,452,452,100
2016-03-02,1882,5543,4,0,,0,0,0
2016-03-03,1931,5983,4,0,23:59,446,446,100
2016-03-04,1976,8660,6,0,23:43,473,473,100
2016-03-05,1978,7316,5,0,00:05,470,470,100
2016-03-06,1836,2818,2,0,,0,0,0
2016-03-07,1981,8119,5,0,00:12,450,450,100
2016-03-08,2286,12993,9,0,00:34,396,396,100
2016-03-09,1947,7084,5,0,23:52,486,486,100
2016-03-10,2034,9911,7,0,00:36,436,436,100
2016-03-11,1922,6388,4,0,,0,0,0
