dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,activities-distance,activities-floors,activities-elevation,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
2015-08-18,0,0.0,1778,1778,0,0.0,0,0,1390,0,0,0,20:01,50,50,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-19,0,0.0,1778,1778,0,0.0,0,0,1371,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-20,0,0.0,1778,1778,0,0.0,0,0,787,0,0,0,22:51,545,545,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-21,0,0.0,1778,1778,0,0.0,0,0,1277,0,0,0,20:26,163,163,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-22,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-23,0,0.0,1778,1778,0,0.0,0,0,958,0,0,0,00:01,482,482,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-24,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-25,0,0.0,1778,1778,0,0.0,0,0,1420,0,0,0,21:01,20,20,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-26,0,0.0,1778,1778,0,0.0,0,0,1420,0,0,0,21:01,20,20,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-27,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-28,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-29,0,0.0,1778,1778,0,0.0,0,0,1400,0,0,0,21:21,40,40,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-30,0,0.0,1778,1778,0,0.0,0,0,1294,0,0,0,18:12,146,146,0,0,0,0,100,75.0,23.671255111694336,18.5
